,fsym_id,exdate,bbg_id,in_index,listing_currency
0,B04V7K-R,2021-06-29,BBG000C0R327,1,CAD
1,B28MQ9-R,2021-04-14,BBG000BP02D2,0,USD
2,B2YXGF-R,2021-04-29,BBG004N1KV84,0,USD
3,B3DVXC-R,2021-04-14,BBG000BJDB15,1,USD
4,B3F6KP-R,2021-01-07,BBG000BNQC47,0,USD
5,B4L66G-R,2021-04-30,BBG000BQT4L6,1,USD
6,B6YRHH-R,2021-04-26,BBG000BRYD38,0,USD
7,B6ZXQL-R,2021-06-30,BBG000DHPN63,1,USD
8,BBV3KZ-R,2021-04-14,BBG00JGMWFM9,0,USD
9,BCD5LG-R,2021-04-27,BBG000CTV4N4,0,USD
10,BCHRDT-R,2021-06-29,BBG000BV7ZW8,1,CAD
11,BDQDB8-R,2021-04-05,BBG000NV1KK7,1,USD
12,BFMPK2-R,2021-06-29,BBG00RDKMTW8,1,CAD
13,BFSQSF-R,2021-06-21,BBG000BMT0R7,1,CAD
14,BK136M-R,2021-04-13,BBG000C42VL3,0,USD
15,BK5ZJ6-R,2021-04-29,BBG000BHLJW9,0,USD
16,BL5KVX-R,2021-04-29,BBG000F6H8W8,1,USD
17,BNFMGN-R,2021-04-23,BBG000BS2ZD1,0,USD
18,BNMLW8-R,2021-06-24,BBG000D5BDF6,1,CAD
19,BRYLF1-R,2021-04-14,BBG000DKDWS5,0,USD
20,BS21X5-R,2020-01-31,BBG000C4Q0W3,0,USD
21,BTBLFD-R,2020-01-30,BBG000BQ4Q61,0,USD
22,BTJCBQ-R,2021-06-29,BBG003FX9C44,0,CAD
23,BW92P1-R,2021-04-06,BBG000FFC0B3,1,USD
24,BWDZ2P-R,2021-04-14,BBG000D9D830,1,USD
25,BXKBJW-R,2021-06-29,BBG000PXLSN9,0,CAD
26,BZPTB8-R,2021-04-22,BBG000FSMWC3,0,USD
27,C11683-R,2020-01-15,BBG000L35KD5,0,USD
28,C4HBRT-R,2021-04-14,BBG0025Y4RY4,1,USD
29,C5P72D-R,2021-06-29,BBG000BGLFP7,0,USD
30,C7SKKL-R,2021-04-08,BBG000BDZMP4,0,USD
31,C8XJ7D-R,2021-04-30,BBG000BRDSX5,1,USD
32,C8XMFH-R,2021-04-29,BBG000BJM0H2,0,USD
33,CFJ279-R,2021-06-29,BBG000QBM0Z3,1,CAD
34,CHKL7S-R,2021-04-20,BBG000BNDN65,1,USD
35,CJVKH9-R,2021-04-20,BBG000BFS7D3,1,USD
36,CKVS0L-R,2021-05-03,BBG000C2ND43,0,CAD
37,CN458N-R,2021-04-08,BBG000BMHNT8,0,USD
38,CRHPMR-R,2021-04-22,BBG000C221G9,1,USD
39,CRHZ50-R,2020-01-16,BBG000C0MQQ5,0,USD
40,CRNBH3-R,2020-01-30,BBG000BP63C5,0,USD
41,CRNHT8-R,2021-04-21,BBG000BDF0G4,1,CAD
42,CSS5YT-R,2021-04-30,BBG000BGBTC2,0,USD
43,CX6P1R-R,2021-06-29,BBG000PY5XQ1,1,CAD
44,CY644B-R,2021-04-29,BBG000BLZRJ2,1,USD
45,CYBC69-R,2021-04-09,BBG000BLF8D2,1,USD
46,D00LZG-R,2020-01-16,BBG0029SH078,0,USD
47,D1LJ47-R,2021-03-11,BBG000BGXZB5,0,USD
48,D3VJNY-R,2020-01-30,BBG000BM3HK5,0,USD
49,D3WHHV-R,2021-06-15,BBG000BS21R1,0,USD
50,D4VRCD-R,2021-04-01,BBG001LFLZZ1,0,USD
51,D54YRW-R,2021-04-08,BBG000BCRMB0,1,CAD
52,D68LVD-R,2021-03-09,BBG000C5QMB5,0,USD
53,D70L9L-R,2021-06-15,BBG000FV0NL0,0,USD
54,DBT2S7-R,2021-04-29,BBG000BPFCM4,0,USD
55,DCV2T8-R,2021-04-06,BBG000BRF6K5,0,USD
56,DF2L7D-R,2021-04-08,BBG00ZXBJ153,0,USD
57,DF9PT2-R,2021-04-27,BBG000BD8PN9,1,USD
58,DJHD0P-R,2021-04-14,BBG000BYMXV1,1,CAD
59,DK5Q77-R,2020-02-10,BBG00LVGRM32,0,USD
60,DKMPBT-R,2021-06-29,BBG000C88125,0,USD
61,DKTB77-R,2021-04-29,BBG0015XMW40,0,USD
62,DLRTBS-R,2021-06-29,BBG000BT1MR4,0,USD
63,DLWPWK-R,2021-06-01,BBG000Q2BVH7,0,USD
64,DMRL0N-R,2021-04-29,BBG000C14JY0,0,USD
65,DMX4QY-R,2021-04-21,BBG00YTS96G2,1,USD
66,DSXPK2-R,2021-04-01,BBG0044K5DM4,0,USD
67,DTGV30-R,2021-05-07,BBG000BC6L61,0,USD
68,DVLVWW-R,2021-04-21,BBG000K4J3T0,0,USD
69,DXTTDL-R,2021-06-29,BBG000HJ82S6,1,CAD
70,DXWB90-R,2021-04-07,BBG000CGM9H8,0,USD
71,DYVDP8-R,2020-01-30,BBG004D379Q5,0,USD
72,DYZJJ3-R,2021-04-22,BBG000C3V7C6,0,USD
73,DZ1P4N-R,2020-01-31,BBG00FQH6MJ5,0,USD
74,F03Z3C-R,2021-06-29,BBG000CVQ2M0,1,CAD
75,F18N4V-R,2021-03-31,BBG000BJY089,0,USD
76,F86GWG-R,2021-04-08,BBG000BVHBM1,0,USD
77,F86WNV-R,2021-06-29,BBG000BPKG12,0,USD
78,FBB432-R,2021-05-11,BBG000BQSQ38,1,USD
79,FBGW4J-R,2021-04-05,BBG000G81WK0,0,USD
80,FCHV3J-R,2021-06-29,BBG000GFD3R8,1,CAD
81,FDQM4Z-R,2021-06-29,BBG000DLD469,1,CAD
82,FH1NKL-R,2021-04-20,BBG000BN5HF7,1,USD
83,FJDB5V-R,2020-01-24,BBG001QYKF35,0,USD
84,FLG3PK-R,2021-04-30,BBG000C706J6,0,USD
85,FNKNQ2-R,2021-04-09,BBG000BQGLS5,0,USD
86,FPNZ48-R,2021-04-09,BBG000BW93R1,0,USD
87,FPVHPG-R,2021-06-29,BBG000BLKC01,1,CAD
88,FQZF97-R,2021-04-01,BBG000F1ZSN5,1,USD
89,FRYXFV-R,2020-04-29,BBG000BR3012,0,USD
90,FS32CR-R,2021-04-23,BBG000BJ8YN7,1,USD
91,FT8FQW-R,2021-04-08,BBG000HS77T5,1,USD
92,FV9XPC-R,2021-06-29,BBG000HPX6W0,1,CAD
93,FWD88N-R,2020-04-29,BBG000BSZYR3,0,USD
94,FWHC5K-R,2021-04-05,BBG000C2V3D6,1,USD
95,FWJSXX-R,2021-04-15,BBG000BJ5HK0,1,USD
96,FWM083-R,2021-04-23,BBG000BB7JQ5,0,USD
97,G12D1V-R,2021-04-14,BBG000BD9525,0,USD
98,G4B1PZ-R,2021-04-09,BBG004Z1PW11,0,USD
99,G5M19V-R,2021-06-29,BBG000BVP5P2,1,USD
100,G6KZ1L-R,2021-04-27,BBG00GBNZ4M0,0,USD
101,GCCR8P-R,2021-04-15,BBG000P87B57,1,CAD
102,GDDS7M-R,2021-01-07,BBG000C0VW37,0,USD
103,GFDBJ9-R,2021-03-09,BBG000BJMDS2,0,USD
104,GFJC62-R,2021-04-05,BBG000C3J3C9,1,USD
105,GHV9DL-R,2021-01-14,BBG000D5TLG8,0,USD
106,GMNVJW-R,2021-05-28,BBG000RQKCR4,0,USD
107,GPC22V-R,2021-04-29,BBG000F5HBL5,0,USD
108,GQLG9W-R,2021-04-08,BBG011RJRY92,0,USD
109,GQN0DG-R,2021-06-28,BBG000BXT422,0,USD
110,GRNSJT-R,2021-05-13,BBG00H609HX2,0,USD
111,GRR6HF-R,2021-04-28,BBG000BDJ1L2,0,USD
112,GRRBRK-R,2021-04-13,BBG000BJTBC6,0,USD
113,GRS9LG-R,2021-04-08,BBG000BBNYF6,1,USD
114,GW4X2M-R,2021-04-30,BBG000JQJC22,0,USD
115,GXCVG7-R,2021-06-29,BBG000M8S4W3,0,CAD
116,GY928Q-R,2021-05-14,BBG000N22GR2,0,USD
117,GYG61J-R,2021-04-05,BBG000DPRDJ1,0,USD
118,GYJ1QD-R,2021-06-29,BBG000QDT8Z5,1,CAD
119,GYM5PB-R,2021-04-28,BBG0019LSQ49,1,USD
120,GZKFBN-R,2021-04-05,BBG000CQ1RV3,0,USD
121,H0KR21-R,2021-04-13,BBG000HLJ7M4,0,USD
122,H0PWZY-R,2021-05-04,BBG000BJ6X42,0,USD
123,H1PJDP-R,2021-04-09,BBG00NKSM4N7,0,USD
124,H1PMLS-R,2021-04-20,BBG000BFQYY3,1,USD
125,H1YRLX-R,2021-05-07,BBG000RNBH63,0,USD
126,H5490W-R,2021-04-16,BBG000BK9W84,0,USD
127,H689TR-R,2021-04-30,BBG000H0X129,0,USD
128,H7DGWR-R,2021-04-30,BBG000BKVJK4,1,USD
129,H7HS5V-R,2021-05-28,BBG000BK1C95,0,USD
130,H8HR7X-R,2021-04-08,BBG000BDNV95,0,USD
131,H9SWTL-R,2021-04-14,BBG000DYGCS6,0,USD
132,H9ZBR7-R,2021-04-22,BBG00GNT7999,0,USD
133,HBS07V-R,2021-04-22,BBG000JNCBF4,0,USD
134,HBYFLY-R,2021-03-31,BBG000BHT631,0,USD
135,HCPTRF-R,2021-04-30,BBG000QL34X6,0,USD
136,HF6097-R,2021-04-12,BBG000BCLYL9,0,USD
137,HJHDLB-R,2021-04-14,BBG000BMCQY0,0,USD
138,HKLDF7-R,2021-04-30,BBG000BRW8B2,0,USD
139,HKM07G-R,2021-03-31,BBG00GSR1BG1,0,USD
140,HLDF9W-R,2021-06-29,BBG004CDX4P7,0,CAD
141,HLRKD5-R,2021-04-29,BBG000BYD2V9,1,CAD
142,HP79S6-R,2021-06-18,BBG000PKBR05,0,CAD
143,HQ4DBK-R,2021-04-07,BBG000BQLTW7,1,USD
144,HQ87P5-R,2021-04-30,BBG000BVV7G1,1,USD
145,HR9BX9-R,2021-04-20,BBG000CF5097,0,USD
146,HTJJW7-R,2021-05-06,BBG000BKQ254,0,USD
147,HTP7VN-R,2021-03-31,BBG000BRXTR8,0,USD
148,HVV49B-R,2021-04-06,BBG000BR37X2,1,USD
149,HXYSHY-R,2021-03-19,BBG000CVD440,1,CAD
150,HZ7X0L-R,2021-04-07,BBG000BLXDJ5,0,USD
151,HZDTJB-R,2021-06-22,BBG001CGD2R0,0,USD
152,J0PDXC-R,2021-04-19,BBG0017WYCC2,0,USD
153,J1FK12-R,2020-01-31,BBG000BB3CT1,0,USD
154,J2LLSX-R,2021-04-30,BBG000QSM8F1,0,USD
155,J3SLBM-R,2021-04-05,BBG000KN6TT5,0,USD
156,J4K0N7-R,2021-04-13,BBG00NKZNGB6,0,USD
157,J7ZVTX-R,2021-06-29,BBG004SNMZC5,0,CAD
158,JDJR0M-R,2021-06-29,BBG00KKD5N44,0,CAD
159,JDPV6W-R,2021-05-13,BBG000B9YY14,0,USD
160,JDVMBC-R,2021-06-29,BBG000C665J4,1,CAD
161,JFW5HZ-R,2021-04-08,BBG000FP1N32,1,USD
162,JFXM8B-R,2021-04-08,BBG000CGQ4F7,0,USD
163,JH09HY-R,2021-06-11,BBG000BBVVP2,0,USD
164,JJ7SY2-R,2021-04-15,BBG000BQPRQ4,0,USD
165,JJ8MHV-R,2021-04-15,BBG000CL9JV4,0,USD
166,JKDM7P-R,2021-05-27,BBG000BMFFQ0,1,USD
167,JLJHSF-R,2021-04-29,BBG000BC58D3,0,USD
168,JM9MDP-R,2021-06-29,BBG00CWWQGZ5,0,CAD
169,JMK1Z1-R,2021-05-24,BBG000BRR481,0,USD
170,JMNLQC-R,2021-04-06,BBG000BFT2L4,1,USD
171,JMPXBQ-R,2021-04-29,BBG000DMFQS2,0,USD
172,JR60D1-R,2021-05-07,BBG000Q8QBC7,0,USD
173,JS2P50-R,2021-06-14,BBG000BSR5N9,1,CAD
174,JT8RWT-R,2021-06-29,BBG000GLMHS3,0,CAD
175,JTC04X-R,2021-04-22,BBG000BGRY34,1,USD
176,JTCRLM-R,2021-06-29,BBG000C0FZY4,0,CAD
177,JWH12W-R,2021-04-14,BBG000BLMY92,1,USD
178,JXLR9G-R,2021-06-17,BBG000DJYTQ4,0,USD
179,JYRG0L-R,2021-04-30,BBG006G063F9,1,USD
180,K296QZ-R,2021-04-29,BBG000BFHM51,0,USD
181,K5L55N-R,2021-04-30,BBG000BLR6W2,0,USD
182,K6NZPD-R,2021-05-07,BBG000BWW509,0,USD
183,K916G7-R,2021-05-06,BBG000Q0BPZ4,0,USD
184,KC6VBL-R,2021-06-29,BBG000BC9DK0,0,USD
185,KCD6KM-R,2020-01-30,BBG000F2SFN9,0,USD
186,KDJGTQ-R,2021-06-29,BBG000G1JDF4,0,CAD
187,KFJFWS-R,2021-05-21,BBG000C1HN22,1,USD
188,KFP2R4-R,2021-04-08,BBG000C41023,1,USD
189,KHX8Q2-R,2021-04-06,BBG000BN84F3,1,USD
190,KJX5N2-R,2021-04-30,BBG000BJ4DS2,0,USD
191,KK1SFD-R,2021-04-29,BBG000DW4Q75,1,USD
192,KL1ZYP-R,2021-01-28,BBG000L3YBN2,0,USD
193,KLCSS0-R,2021-06-16,BBG001LV74X3,0,USD
194,KPG3FB-R,2021-05-07,BBG000CJXHL7,0,USD
195,KRPZPX-R,2021-04-14,BBG000BJTZX0,0,USD
196,KTZBWY-R,2021-04-15,BBG000BNY197,0,USD
197,KW4CLR-R,2021-04-22,BBG000BHF0Q4,0,USD
198,KXCJCK-R,2021-06-29,BBG000QTCPR9,0,CAD
199,KZKK3D-R,2021-04-07,BBG000BG4202,1,USD
200,L0TLL1-R,2021-04-06,BBG000CL6RJ3,0,USD
201,L0V3KJ-R,2021-04-30,BBG000BDPPR6,0,USD
202,L1TD9Y-R,2021-04-08,BBG000BKJ092,0,USD
203,L1XNK0-R,2021-03-04,BBG000M44VW8,0,USD
204,L32Q9V-R,2021-04-26,BBG000BJSW86,0,USD
205,L429NK-R,2021-04-05,BBG000BDBP37,0,USD
206,L43CTP-R,2021-04-29,BBG000RGW5V3,0,USD
207,L6CPTK-R,2021-04-09,BBG000BH5DV1,1,USD
208,L6H03N-R,2021-03-31,BBG000BS5170,0,USD
209,L6HTPF-R,2021-04-15,BBG000CQHQS2,0,USD
210,L7MTPJ-R,2021-04-16,BBG003FD9W71,1,CAD
211,L8M6CS-R,2021-04-29,BBG000BXJ2L6,0,CAD
212,L8M9KW-R,2021-04-14,BBG000BN1P63,0,USD
213,L8N68Q-R,2021-04-14,BBG000DJN7L9,0,USD
214,L8SKLT-R,2021-03-31,BBG000DQLV23,1,USD
215,L9WD3K-R,2021-06-29,BBG000BXMGB2,0,CAD
216,LBWNRX-R,2021-04-09,BBG000BNC3Y9,1,USD
217,LDS05T-R,2021-04-30,BBG000J187K0,0,USD
218,LF5C6W-R,2021-04-07,BBG001V59J64,0,USD
219,LF95DC-R,2021-06-29,BBG00DRGKLZ9,0,CAD
220,LJPXK2-R,2021-06-21,BBG000C0BT45,1,CAD
221,LKVX5V-R,2021-06-29,BBG000D17GK7,1,CAD
222,LM1PBC-R,2021-04-15,BBG000DRFJF1,0,USD
223,LMZSVP-R,2021-04-27,BBG000BWJYL8,0,USD
224,LN3YSL-R,2021-04-14,BBG000DCNK80,0,USD
225,LQBB5R-R,2021-04-08,BBG000F1ZSQ2,1,USD
226,LRHWY2-R,2021-05-13,BBG000BJCDS3,0,USD
227,LTP334-R,2021-04-08,BBG000BK67C7,1,USD
228,LX2QF5-R,2020-12-15,BBG000BRM155,0,USD
229,LY3ZGZ-R,2021-04-09,BBG00F48C2K4,0,USD
230,LY653H-R,2021-04-29,BBG000C23KJ3,1,USD
231,LYKD1K-R,2021-06-29,BBG00KK2W1T9,0,USD
232,LZ6BKR-R,2021-03-17,BBG000C4CGB6,0,CAD
233,M1H0C2-R,2021-04-08,BBG000BJ2D31,1,USD
234,M1MQBH-R,2021-04-20,BBG000BFW9K6,0,USD
235,M2XGTG-R,2021-06-29,BBG00QV3CHC7,0,USD
236,M3QDQ6-R,2021-06-29,BBG000BGHJ83,1,CAD
237,M4VNZ9-R,2021-04-09,BBG000BHJZF5,0,USD
238,M4ZVZ7-R,2021-04-13,BBG000BKRSZ3,0,USD
239,M5BNQJ-R,2021-06-29,BBG003MS9X87,0,CAD
240,M745FG-R,2021-03-31,BBG000CQCCK6,0,USD
